country,abr,co2_prod,coef_ineq,diff_hdi_phdi,gdi,gii,hdi,ihdi,ineq_edu,ineq_inc,ineq_le,lfpr_f,lfpr_m,loss,mf,mmr,phdi,pr_f,pr_m,se_f,se_m,continent
Seychelles,53.444,4.993238228,15.14949785,10.404501174734488,0.985080580277415,0.330732995228049,0.785,0.661,6.65648,29.34535638,9.446657181,51.475501341467485,71.38180412766926,15.79617834,14.55886618739041,53.0,0.6987868868574104,22.85714286,77.14285714,75.20128117708364,76.10523382247122,Africa
Sierra Leone,100.905,0.109965133,34.15862986,1.048218029,0.893,0.633,0.477,0.309,47.50289,19.85569,35.11730957,56.086,55.925,35.22012579,2.12,1120.0,0.472,12.32876712,87.67123288,34.74049907,51.53708467,Africa
Singapore,2.623,7.777989731,12.40971664,29.1799787,0.992,0.04,0.939,0.817,10.00732115,24.96040064,2.261428118,59.406,76.828,12.99254526,50.43,8.0,0.665,29.80769231,70.19230769,80.46401978,85.93203735,Asia
Slovakia,26.307,5.628647446,5.168764951,12.97169811,0.999,0.18,0.848,0.803,1.74792,9.06554,4.692834854,54.743,66.415,5.306603774,19.14,5.0,0.738,22.66666667,77.33333333,98.86412048,99.18135071,Europe
Slovenia,4.478,6.042989257,4.371241934,16.23093682,0.999,0.071,0.918,0.878,2.05965,8.30524,2.748835802,53.763,62.188,4.357298475,25.38,7.0,0.769,21.53846154,78.46153846,97.61309052,98.74433899,Europe
Solomon Islands,60.251,0.434978832,17.605425496924717,9.597624932163876,1.0057411518448671,0.388947900742066,0.564,0.47726414815226814,13.208574961023391,27.528208007733372,12.07949352,83.057,87.398,17.736928291551266,19.910133137834606,104.0,0.49269065458488304,8.0,92.0,56.46964963026268,60.654299413924676,Oceania
Somalia,117.994,0.035369795,25.986414981954223,1.6100056441788642,0.8295016540989221,0.6371085234862247,0.5039500638848207,0.3906959091650176,15.277446394464027,24.35,38.33179855,20.901,46.978,26.106834959508603,3.5,829.0,0.5029635648762091,24.62006079,75.37993921,63.2740390998942,70.86674172403907,Africa
South Africa,61.206,7.620419537,31.05112691,9.116409537,0.944,0.405,0.713,0.471,17.29413,56.996,18.86325073,46.212,59.883,33.94109397,7.55,119.0,0.648,45.98214286,54.01785714,68.89771271,87.66622162,Africa
South Sudan,99.199,0.105344736,36.25986686,2.337662338,0.843,0.587,0.385,0.245,39.55255,32.25296,36.97409058,70.44,73.574,36.36363636,4.78,1150.0,0.376,32.33438486,67.66561514,26.53763962,36.35723877,Africa
Spain,6.281,4.468313378,12.64302265,9.502762431,0.986,0.057,0.905,0.788,15.73379,19.31195,2.883327961,52.654,62.412,12.9281768,13.48,4.0,0.819,42.27642276,57.72357724,78.534729,83.16280365,Europe
Sri Lanka,15.65,0.985665463,13.18638698,2.685421995,0.949,0.383,0.782,0.676,11.99693,22.36351,5.198720932,30.897,68.495,13.55498721,4.36,36.0,0.761,5.381165919,94.61883408,83.96347046,84.23522186,Asia
Sudan,79.908,0.430091637,33.47931716,5.511811024,0.87,0.553,0.508,0.336,42.45021,33.0,24.98774147,28.653,67.819,33.85826772,11.25,295.0,0.48,31.04166667,68.95833333,16.42,20.12,Africa
Suriname,56.137,3.791474042,25.34968467,10.073594168918552,1.001,0.427,0.73,0.532,18.36769,46.69631,10.98505402,43.449,65.065,27.12328767,15.673037268439197,120.0,0.6565576974092621,29.41176471,70.58823529,69.91561694,70.65886296,America
Sweden,3.345,3.825506114,6.416554863,15.20591341,0.988,0.023,0.947,0.885,3.8679,12.77164,2.610124588,61.651,68.009,6.546990496,26.72,4.0,0.803,46.99140401,53.00859599,91.80840302,92.22470093,Europe
Switzerland,2.212,3.731913422,6.89990636,17.25571726,0.967,0.018,0.962,0.894,2.01457,15.58172,3.103429079,61.728,72.705,7.068607069,31.14,5.0,0.796,39.83739837,60.16260163,96.8586731,97.53341675,Europe
Syrian Arab Republic,38.72,1.744614402,18.265714297181486,2.079722704,0.825,0.477,0.577,0.47766223346331493,23.83789189708852,17.973930877743516,12.98532009,15.715,70.767,18.61102847434048,1.91,31.0,0.565,11.2,88.8,37.12,43.372,Asia
Tajikistan,45.427,0.990569475,12.34022282,3.357664234,0.909,0.285,0.685,0.599,6.03825,14.4674,16.51501846,30.21,50.534,12.55474453,5.75,17.0,0.662,23.40425532,76.59574468,93.50186807,94.58824356,Asia
Tanzania (United Republic of),123.652,0.183121172,23.69202603,0.910746812,0.943,0.56,0.549,0.418,26.96013,22.4,21.7159481,79.528,87.098,23.86156648,1.58,524.0,0.544,36.8556701,63.1443299,13.00208063,19.10147619,Africa
Thailand,32.744,3.692920935,14.16798364,8.125,1.012,0.333,0.8,0.686,16.84539,18.7899,6.868660927,58.992,75.027,14.25,11.75,37.0,0.735,13.93775372,86.06224628,47.62686157,51.66852951,Asia
Timor-Leste,33.877,0.398727289,26.24257376,10.18549724927168,0.917,0.378,0.607,0.44,44.91179,13.58745,20.22848129,60.987,72.24,27.51235585,21.173163387149792,142.0,0.5270778516047201,38.46153846,61.53846154,33.73693085,41.76971436,Asia
Togo,77.88,0.264726786,30.7737213,2.040816327,0.849,0.58,0.539,0.372,37.72766,26.85326,27.74024391,55.488,59.369,30.98330241,4.14,396.0,0.528,18.68131868,81.31868132,13.93464167,42.29159483,Africa
Tonga,18.965,1.359761578,10.43202966,10.01378671815017,0.965,0.631,0.745,0.666,4.30943,18.24092,8.745738983,37.292,55.263,10.60402685,19.388905657292334,52.0,0.6685032879258873,0.0,100.0,93.52619044,93.14792163,Oceania
Trinidad and Tobago,38.132,25.37313646,13.891570824624806,14.576176780443905,0.985,0.344,0.81,0.6897962855983487,12.05892958879334,18.740598818482756,10.87518406,46.651,67.961,14.416337676839628,-8.315617591754163,67.0,0.6967308686986557,32.43243243,67.56756757,84.8022413,80.64749944,America
Tunisia,6.685,2.379863502,19.18297336,6.019151847,0.931,0.259,0.731,0.588,30.70285,16.88955,9.956520081,25.493,67.15,19.5622435,9.17,43.0,0.687,26.26728111,73.73271889,42.92002694,51.79512793,Africa
Turkey,16.884,4.657320907,14.195661,11.575179,0.937,0.272,0.838,0.717,13.64287582,23.07928288,5.864824295,31.843,69.407,14.43914081,17.49,17.0,0.741,17.33333333,82.66666667,56.30186081,75.94152832,Asia
Turkmenistan,21.769,12.49132843,16.37204107,15.16778523,0.956,0.177,0.745,0.619,2.94467,26.20491,19.9665432,36.54,55.59,16.91275168,13.13,7.0,0.632,25.0,75.0,93.47375488,92.15588379,Asia
Tuvalu,33.085,0.641460312,15.49879814,9.67950992578041,0.9453831633897817,0.4045040021860403,0.641,0.541,9.17696,22.94714,14.37229443,46.793550797087995,69.00198196940975,15.60062402,19.82214329906681,126.78195201390895,0.574444691041498,6.25,93.75,60.04902649,60.71810913,Oceania
Uganda,107.938,0.106954357,24.41962152,0.952380952,0.927,0.53,0.525,0.396,27.91438,24.94038796,20.4040966,64.172,71.306,24.57142857,1.92,375.0,0.52,33.81294964,66.18705036,29.34,36.32,Africa
Ukraine,15.642,4.891161661,5.967098327,9.055627426,1.012,0.2,0.773,0.726,3.59926,8.524722702,5.777312279,48.098,63.567,6.080206986,11.91,19.0,0.703,20.80378251,79.19621749,96.1699095,95.79626511,Europe
United Arab Emirates,3.085,15.19333592,17.280120708804876,43.13940724,0.953,0.049,0.911,0.7739508656259678,12.63435527,34.6810806606554,4.524926186,46.542,88.003,18.23736770081493,68.95,3.0,0.518,50.0,50.0,81.99700165,85.59674072,Asia
United Kingdom,10.541,4.854886819,8.243507931,11.84068891,0.987,0.098,0.929,0.85,2.84785,17.96959,3.913083792,58.044,67.091,8.503767492,17.85,7.0,0.819,31.08013937,68.91986063,99.80036926,99.80490875,Europe
United States,15.966,14.23786361,10.63809158,24.21281216,1.001,0.179,0.921,0.819,2.745849765,23.222,5.946424961,55.227,66.437,11.07491857,29.65,19.0,0.698,26.96629213,73.03370787,96.54834747,96.36666107,America
Uruguay,36.226,1.681218748,11.83641913,9.394313968,1.022,0.235,0.809,0.71,6.54951,23.543408,5.416339397,54.778,69.25,12.23733004,17.49,17.0,0.733,26.15384615,73.84615385,59.55147171,55.45653915,America
Uzbekistan,15.859,3.369793419,17.5704822806502,5.364511692,0.944,0.227,0.727,0.6015968294691558,0.550110115,43.643685182911234,8.517651558,44.898,70.916,18.324552477055835,6.12,29.0,0.688,28.74493927,71.25506073,99.87657928,99.95916748,Asia
Vanuatu,64.063,0.591056341,16.43560595039686,11.054445744085596,0.9540100477121015,0.45788998380843043,0.607,0.5201768537935811,15.59399826040542,19.68256999,14.0302496,59.721,78.006,16.50851466757888,22.82240645773785,72.0,0.5228553249370989,0.0,100.0,57.54054570756802,61.572274083354735,Oceania
Venezuela (Bolivarian Republic of),82.715,2.975442345,14.16183998,6.657018813,0.983,0.492,0.691,0.592,8.67058997,21.0,12.81492996,34.348,67.813,14.32706223,9.6,125.0,0.645,22.15568862,77.84431138,79.84323438,75.37381958,America
Viet Nam,34.6,2.612563309,14.32867907,5.832147937,1.002,0.296,0.703,0.602,15.25479,14.60094,13.1303072,69.637,79.437,14.36699858,8.52,43.0,0.662,30.26052104,69.73947896,61.2890892,69.64498901,Asia
Yemen,54.404,0.327509951,31.54348443,1.538461538,0.496,0.82,0.455,0.307,46.13765,21.80323,26.68957329,5.995,67.637,32.52747253,2.89,164.0,0.448,0.294117647,99.70588235,22.44,37.52,Asia
Zambia,117.017,0.3575346,30.10964459,1.415929204,0.965,0.54,0.565,0.39,20.43572,44.84022,25.05299377,69.23,77.847,30.97345133,2.38,213.0,0.557,15.06024096,84.93975904,47.10420099,56.81189742,Africa
Zimbabwe,94.312,0.708561788,22.47084979,1.011804384,0.961,0.532,0.593,0.458,14.60503,28.76901,24.03850937,79.308,88.933,22.76559865,1.21,458.0,0.587,34.57142857,65.42857143,61.76821107,72.4445032,Africa
